machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,operating_hours,vibration,pressure,failure
Type B,290.17011631336476,301.01225499652173,1597.489986049437,28.876680852186446,188,3412.7058551205027,2.0251887597547484,57.970064471936524,0
Type B,302.3172810849734,318.66129640881286,1568.9091955822694,47.40284333652915,119,3259.2919541872743,2.7017795284054356,52.85638744169198,0
Type B,297.88166168370685,308.76959279441195,1376.3557794595981,33.370339530302466,164,4022.7198195161272,2.8898312988433923,47.737759127073026,0
Type A,296.62046888892746,312.15535033369946,1706.8131627851255,27.869661941513524,153,3243.671334307502,2.8803717599257173,51.010745907027996,0
Type C,306.09388926593806,318.65680570674976,1109.9081315142262,34.72190853640105,116,3160.0178991032126,2.511850253835617,50.101129360666505,0
Type C,310.3549215747196,326.8645269325783,1483.5428028315193,43.36707191756306,29,4537.134938675286,2.595514082132032,37.073652274477354,0
Type B,312.5605903822025,322.3244215129823,1359.0313308618854,37.226467380689805,73,4759.777856903573,2.6392222454084218,47.9395775219808,0
Type B,309.2036551005413,328.7645459431485,1330.675514483242,40.34210118332798,234,4583.966243863094,2.701837759377324,66.21546832956182,0
Type C,299.23186072858874,307.2902759169323,1607.1869468633865,46.96207461836084,130,3331.7702872744744,2.7549311175408895,57.58020149071295,0
Type B,302.4690411411844,309.4031938043937,1769.3696356799207,50.824214516169484,159,1360.211012246817,3.1566716507833275,52.364333012584325,0
Type B,305.3677601024897,310.52754870373354,1414.1860595407834,36.89904691410569,64,3351.793913607152,2.53384891721551,57.78935875498014,0
Type B,300.84824564509626,320.17234433132853,1695.1702724814443,29.557779844238414,176,2742.0199873229512,2.009918040501783,41.32616831989438,0
Type A,300.9153493153808,314.1931396058524,1512.4351663611496,40.760944789225164,121,3370.274980989412,2.4134249781375794,56.97468401523697,0
Type A,305.7662719231333,314.42978898961206,1276.816947690498,44.706495861040715,54,2828.9091072823912,2.952268491240998,63.942445842032384,0
Type B,299.5850214778185,314.58111226531247,1435.511976689734,25.392746940280496,36,3479.260144534398,1.4280832249690927,54.15218837037434,0
Type C,294.8949914453844,307.6457601858555,1425.1285273020962,31.09391702992415,98,2460.7243707684356,1.4315486827768233,42.59607331626002,0
Type A,297.098688539149,314.96319842465135,1325.8350218736384,32.80813104037059,141,2219.282563281621,3.0509656728353947,52.10241625656312,0
Type C,304.4373726441362,308.24604131317653,1607.1207321639583,37.92177811279623,70,4722.691482570892,3.4120736901107964,63.95483396488184,0
Type C,300.0209530383997,308.95951260514266,1558.6615469261899,32.38966096373214,61,2530.3423866323465,1.7408799789883158,56.81040759828368,0
Type A,302.3814698380784,310.53138430230706,1102.3375754326455,47.070407250969,67,3500.3316252563536,2.560275562499737,45.071829336445035,0
Type B,304.6905546954153,306.7958239897809,1087.1185011901605,23.948667985415824,73,4454.514846602836,2.2602729322497908,71.5734042542871,0
Type A,297.3761097597167,311.6174185788355,1606.1711133014387,24.202813028055754,184,4414.304126229573,2.343501932655026,46.22334038628407,0
Type C,305.29373714540867,314.21215092219524,1296.1783928013663,36.66111188488538,124,4294.848204915352,2.6833186052538496,53.2995279287075,0
Type C,302.65189822420876,315.610423044155,1575.5102887750809,38.24347195860143,117,3802.866514501535,1.7242778625935506,47.73829799543458,0
Type B,291.3563083916197,310.79539612893814,1695.232894527297,25.453561271418963,40,4224.0033085368495,1.8356694997045593,47.74798589560479,0
Type A,310.0961335383037,318.68315877099326,1182.2617906486103,33.93251157352435,136,4873.088132606154,2.319249296247265,51.834942189853905,0
Type C,296.49478679370156,304.8101748630729,1147.1156863559538,35.989561825809105,240,3925.0225939953734,2.412774641263504,59.453051118922545,0
Type B,288.4143325977037,298.8889892765997,1918.6079205988237,36.067020529778546,186,1662.7976531858164,1.8244269365894972,64.03372011653721,0
Type C,292.6846940328959,306.63368344482956,1587.8926957406147,41.518814832892915,111,2971.4667938499033,2.9737886048735107,52.29682279577278,0
Type C,292.8526838752517,300.5858317740111,1395.1898358316823,33.38421115576438,76,4196.370071722088,2.24946341613338,47.92899512070553,0
Type C,300.36521323060276,307.84136684207425,1266.514886838434,54.778363000082734,88,2872.904066290596,2.2469094363598927,58.350475216618655,0
Type C,298.08304646117637,312.31180354214183,1372.3897877731802,44.88204639733572,6,5120.106139458644,2.6695952741379405,58.555745052504314,0
Type A,297.64217622651586,309.156733521868,1202.3569159716724,31.928864793586783,7,3436.8201718335686,2.4226550343595004,56.68263434887415,0
Type B,304.33791375837734,306.15900070635803,1720.8530435226476,40.94511493367573,194,3585.2487713594364,3.002486087743488,56.93017869034713,0
Type B,302.37912752834893,307.4775603304725,1305.8122115984197,41.24015318605605,210,4624.744198901735,1.9399464773196002,54.21203487559423,0
Type B,302.21233509451,318.21727854981884,1773.3836470540668,52.14721474497781,242,3317.150102690707,1.6615680417619156,55.68705598189117,0
Type A,302.8687992013009,314.47651233361614,1399.842770057497,33.99617571083649,156,3676.277035728186,2.3141274617208354,53.728442099635004,0
Type B,304.31294267601567,311.26415895186665,1239.1624540956714,47.67338697720574,232,4399.123483999112,2.536141703761008,62.49170608925986,0
Type A,285.2443266075579,294.562687978618,1393.4246029965498,40.418544757824776,104,2027.7293841663138,1.7555464335414879,70.59921650494114,0
Type C,297.4489322341488,307.50187892535547,843.9583056246458,54.91566516448766,63,3214.7018376124506,1.6673478629798444,56.25757206195035,0
Type C,284.7385295485737,297.68146298969435,1469.8078558314983,52.90891452639408,61,4329.15329537912,2.6093786694027914,54.953994264200475,0
Type C,300.2524194875846,304.8193659081494,1457.4702022174604,41.969793045926004,59,3565.600148342594,2.0453316596110227,56.79102955983048,0
Type C,299.9675691944296,306.6037726397478,1706.185686636992,37.3771737898394,186,4967.333812077481,1.6284929697958481,50.39454739311696,0
Type B,307.3187259235278,318.41054894298134,1028.4237680041551,45.06605909679456,2,1924.0766418130818,3.0792047753884377,60.35484859773374,0
Type C,308.31344074904786,317.91410242706604,1790.466590215887,38.195499728728336,236,1809.9982320538668,2.1209231962437447,58.0882348635679,0
Type B,301.4194253377666,313.70686206831346,1705.149823749414,56.80307105978335,193,4269.686516622718,3.1898869623192145,52.05670854370116,0
Type A,296.4974724582217,301.5794428687833,1813.0108909246655,40.78470078177012,95,4365.8072149327745,2.5170824746656564,61.31446773329735,0
Type C,303.39612778782015,314.8246424929054,1486.8196559989656,35.94357367487163,175,3306.749993168167,2.676855317233182,55.13292837841771,0
Type B,296.3045765387298,310.6709110162397,1753.474208525689,35.40384913926074,33,3900.394400045724,2.3731001523418884,48.209603530679374,0
Type A,299.99025143989655,311.9375256284937,1132.1889912732736,27.869644148012927,107,4245.2069776314065,0.9069026532725819,57.46123111796072,0
Type B,306.90295421872537,317.4594011777717,1678.2618913011333,45.565591280933226,27,2686.1367941482536,1.8179281053677774,56.658947523795284,0
Type C,296.095600578074,305.7120661678101,1307.2093094750137,31.799887973604974,28,2793.151624950701,2.4245743241687654,61.72292702277437,0
Type A,305.6397504746975,312.3003458636115,1087.149541894266,50.98148252187747,1,3689.7261791986366,2.7188374823756227,60.82082865052394,0
Type B,304.7418095808461,314.453815211087,1218.96487045891,27.070649459984267,198,4404.08895989372,1.4261955865671276,54.23541568559867,0
Type A,293.31645728008425,308.35528069160586,1501.3827846573176,41.272414489732505,185,2334.0430736420153,2.467838975283723,51.69539144510529,0
Type C,306.8172588975218,316.3411448711213,1293.9251979455992,51.50223758497454,223,3302.052368064981,1.8266415476715812,55.012206250404596,0
Type B,304.88996441760054,311.3307484602069,1594.01838292395,18.477529353763636,245,3255.763368295561,2.6407720990537924,57.54316215768059,0
Type A,300.7134812116086,308.7444928565471,1047.9406112489955,60.18265543792186,241,3917.9591050427643,2.488359528580105,58.386280644355345,0
Type A,294.66373579380644,305.4671369829102,968.2256140960346,35.747148028018906,248,3491.3016299911656,2.946100961457744,57.109885456952824,0
Type B,293.985557869971,302.4915018812476,1843.096858535894,41.41095382162139,3,2954.1164161971406,3.1400937581125112,54.36466639569762,0
Type C,296.2363619616788,308.1775750939314,1725.9500323503587,45.714492255163435,196,4748.565780757406,2.7753939395644176,61.97771914016256,0
Type C,303.7981612430437,315.8895362860398,1237.675791021548,47.26129056115553,180,2960.74251837918,3.0162361533823447,50.27988674134706,0
Type B,293.3106238281902,306.8665565498088,1499.250089132365,42.73883938259682,40,3207.9036369785463,2.289794514445697,72.35582416508376,0
Type A,303.0625857403391,318.7568236293992,1754.876765050331,49.97384583706368,34,1908.5023640803765,4.193870446760287,60.341492661076316,0
Type C,291.30771129785126,305.2911461953407,1604.8001520726514,45.190707129218126,244,2786.374123154105,1.7687085421030715,47.10760217780993,0
Type B,298.57151990892805,304.8345636523362,1537.0557740458696,57.608811400323034,220,4016.07607633905,2.183346533254407,56.29660531655491,0
Type C,300.76753428201806,307.15339649571297,1773.7885203281494,45.223275428545975,81,3820.60195635486,3.040815149648136,60.40878462622492,0
Type A,317.1159110154124,326.8128251095731,1317.3218811996949,59.646355198830875,18,4099.516990065762,2.9516327829165956,52.55441626136203,0
Type A,290.3587904113574,298.5540889823997,1507.794612166157,49.01078840237656,83,4050.9822859456704,2.7924334114854092,44.533991666963054,0
Type C,310.30410196543096,315.7507950575872,1495.537840426902,21.942498742317373,1,5587.714036295154,2.9051911947958646,47.726552408807734,0
Type C,301.04889689791094,309.28212972121895,1431.8094880822393,66.11102678387842,171,2752.1411725530897,1.2498657072363757,58.794650610418856,0
Type B,302.8782034261117,310.98015169163557,1402.548622144812,34.256558915227814,95,1880.5762565652115,3.4535792167227006,42.7176846920214,0
Type C,300.8284353937174,308.1410444346726,1518.2170594571228,54.95544015201735,12,2449.447003928476,2.377665424680031,44.85458799707784,0
Type C,303.11308772736663,311.8499297827466,1508.601873996382,40.267934431194384,244,2796.3481641684084,3.247536509362511,58.75784322853748,0
Type B,298.92420426946586,313.63800767073917,1237.8930893663685,50.610902576025794,206,2525.673063383089,1.2798840526192266,53.442155482072195,0
Type C,310.1783512702022,320.9753034351992,1700.4489774751119,33.11521089134206,226,3593.660847644854,2.6539411020887145,50.12953727276642,0
Type A,296.80470199042696,316.6919382946488,1255.9036980584353,46.25744543089588,249,4752.654905557021,2.1618986325130907,51.53687496874227,0
Type A,307.92564200525476,318.60767474933334,1445.4416388632064,37.468094546055944,3,5039.659072969915,2.843272090948782,44.70430331008976,0
Type C,295.48943015850887,304.32916706275984,1426.179881819987,55.790031115898884,193,4004.3085018466045,2.6902422714813072,58.39117401318462,0
Type B,299.578237075191,309.5947686058105,1589.525903164804,44.38668167417009,196,5641.272215454015,2.719628678499507,49.35419511487788,0
Type A,292.49626213396846,303.5222300477426,970.2240149456668,49.35942641301566,195,3143.626943433581,1.864634987061105,51.24973470791291,0
Type C,303.1851660424326,314.9261818711169,1722.7274537323647,18.359231285269296,66,1867.4809579975736,2.4658185275088336,57.42749595611025,0
Type A,310.11588169848574,328.4227270019218,1330.752413096959,39.144273202113745,97,4553.17806788817,2.3918997712423953,53.203607251820486,0
Type C,299.45850674125404,306.0772248813438,1804.9908236942636,44.10551635058296,232,1661.4056082509373,2.7971860250244593,50.06742683255965,0
Type A,298.62180010907264,312.0579843417836,1380.4587688709614,42.23614906439707,16,2744.996977300196,3.09357819726008,41.0739310269325,0
Type C,292.19768125852454,303.02868364898103,1487.7891035664973,49.611572137178506,160,4020.1122324227963,2.590285553205169,57.571980921074704,0
Type C,298.39495142513385,302.1105604548514,1978.446510017106,36.340957548625454,198,3397.6185199512192,1.7342966269668407,55.552950773258814,0
Type C,288.8504401819493,301.93323531032837,1430.6654478015828,40.48787105034631,199,3309.047237128494,2.5645472857400606,51.378287796216384,0
Type B,293.6098540929682,308.6803483361838,1809.7124711683646,51.81226764414992,149,2319.2099671799942,4.066645737045557,47.738206261732074,0
Type B,301.58750232276395,308.15879670765423,1509.76127139114,17.21310996554643,191,3489.197610566663,3.4876031961926715,55.089337350574674,0
Type C,309.2330923841898,319.1973569126219,1603.8547075733725,45.893505016383415,227,4503.662488737792,0.7153602623453805,58.36330232368038,0
Type A,319.66447602860654,322.76305898057575,1517.4896473528436,36.66115174006447,191,3519.967916536019,2.5380058922169066,55.68431216927013,0
Type C,295.8939044045037,300.85867856576635,1711.962906575031,30.876818754463784,28,2669.7741203589394,3.0592717151532067,66.46645864344507,0
Type B,310.0471010965181,324.2392194069871,1328.6170967867372,43.3654422427598,61,2252.4615394026696,2.3906037924592125,59.9334215182352,0
Type B,301.70626736281156,309.8406013387818,1253.9878692452037,52.274512968086555,76,2690.4054170444215,2.2239454479136698,54.24901837228171,0
Type B,298.9412664727754,304.5060545730232,1340.3559524057446,50.39143831484181,85,3892.3337524143585,2.3398214709499072,60.167951292675944,0
Type B,303.02816116208305,313.9460026199168,1524.9275940810228,38.648869690933715,90,3843.60226235971,2.8313136912607915,55.34063594873755,0
Type A,300.4334153857597,308.3437656600356,1444.7953036124177,48.757409637609484,54,2699.492899404331,1.8109180153749946,55.31634928165858,0
Type A,300.7727700792855,308.8894834481834,1677.5687191177942,48.68067898445844,170,1289.240578017942,3.2132131909656225,64.07454658117716,0
Type A,297.1416678602133,310.0989719629129,1826.18292495538,39.12628729506833,27,3920.012763672165,2.4664042049811585,48.71359485301637,0
Type A,290.21323238140803,295.56629894567067,1256.0404156912477,33.06919448011792,196,2602.2926010247493,1.9389854355330705,55.16316753638471,0
Type B,289.19462358234546,295.57316273161814,1316.512802096517,33.6476596887767,164,4189.062479015283,3.174610096839217,63.327970018547234,0
Type C,304.5727141829686,315.18903415156404,1140.9401454217864,48.37853348868137,240,2743.89035787225,1.5729214569330152,57.162933907224236,0
Type B,298.0630993694,311.9407385323928,2007.593247689776,39.57853186287309,1,2512.0995463301915,2.1668739417990497,52.416629102418554,0
Type B,295.8273777024068,310.78001890836623,1576.1673747804566,29.538177802694115,73,3653.1719072595843,2.1569949608289014,43.056881642380816,0
Type C,300.0595393870621,307.3992925056156,1619.9505800128945,23.15137164490875,224,5857.699230026368,3.786365162941679,39.107571404644034,0
Type B,305.5645257704094,319.31403363808795,1164.947903742238,48.318314520963796,123,4249.029991116573,2.088987538816334,69.53326832832524,0
Type A,301.2625476011848,308.12597842730315,1499.7075027482813,34.53221577735776,140,3636.2192992058517,1.207020867699937,57.15958274875568,0
Type C,295.40761544351324,312.7124528311404,1627.3119961032712,43.30387755655982,7,3858.8515363809684,2.150910930832515,50.911488026396164,0
Type B,308.58405068954266,314.04896658786373,1436.8105773663938,52.39706907069124,190,1748.8841385144028,2.773330208442867,57.44619822390889,0
Type B,311.05429852087144,326.3682137640384,1768.9264062065986,26.91075523146515,63,2377.6596292474437,2.9704507279501624,48.366281031876554,0
Type B,303.46189658725996,310.8359521599851,2077.9577814107074,39.54862619487155,240,989.071134952861,3.8659238160656635,52.68159105822614,0
Type B,306.8156445794086,324.868630398587,1263.2342932265121,38.293058537811305,93,5229.873894576623,3.3441385425915287,48.413417249049246,0
Type A,308.6937199776967,321.0590028931066,1244.4781885058258,43.79742875627961,47,5027.3860291557485,2.6127535563490913,45.10708490804847,0
Type B,307.9106952148316,313.84662909719873,1280.5609836178558,52.39159998420435,148,3892.81852621491,1.9651507194551336,40.265105379134546,0
Type C,304.29869423978835,312.2097403216183,1901.5497900041228,26.70548185337592,119,3635.1151030842047,3.474416458808415,43.81639825439816,0
Type A,304.1884293295242,317.31315415041917,1760.5888292574211,45.697979487057665,117,1948.4099975024199,2.278861869804261,62.14901434756222,0
Type B,303.6376240134255,317.8482016838878,1466.1180455515878,50.31523774993701,237,3280.700039749309,2.105105658271237,48.09182627152978,0
Type A,292.3186362781707,302.0357739112728,1509.1399161002187,38.136229360432175,91,5292.391878403892,2.249755718707558,58.74424478262016,0
Type B,304.9050620980171,315.0836952218709,1295.8640934508196,38.625530071068766,99,3631.415998195714,1.7486270566619142,61.6965317289165,0
Type B,290.5093022021141,303.54271433269037,1722.506789435796,44.18449368984922,156,2935.353533788104,2.2209879452974146,55.1160577964522,0
Type C,294.4378038141246,304.9649975221679,1405.0245439728615,43.44817077889788,42,1741.9293399963867,2.360135002012951,52.910029513752505,0
Type A,309.1249554746566,313.9509360373031,1434.9808651362503,45.823526073671225,207,4880.305727730805,2.938393963487271,55.93116044369365,0
Type A,305.8815411388594,312.62964504029867,1652.1974428823141,45.61280526401217,57,3429.916198972344,2.267146998939389,52.0836574343312,0
Type B,310.41178802780104,321.3522678004077,1453.0012654791947,30.180276943843488,60,1743.2661466371708,1.7395244548968907,63.427364834396414,0
Type C,298.09827931418897,312.96020898017974,1441.2585016255384,49.90266497704943,2,2575.734317928458,1.5377367068459802,68.13573711901145,0
Type C,291.9342581110626,308.39818780771077,1502.6438013822687,51.66783162190238,85,2222.46198264187,2.6257418485138695,65.14868281259669,0
Type A,298.3169396205076,311.4350573035934,1698.8388534482692,41.86082893690298,145,3368.256474288028,2.5435755120815347,39.939057356585025,0
Type A,300.714219080684,311.86338212482946,1911.6232688709583,25.05844693450333,176,3707.338969612819,2.167412373272099,51.940812687979204,0
Type C,300.55292101438005,313.54817655830993,1646.3715580615205,38.8525429399991,224,2996.7829357214755,2.2195261237047577,55.02911397146809,0
Type A,307.9357633512969,315.2687599504695,1700.8285559060669,41.944058769405686,194,4277.046596486882,2.733092159679502,58.2414057229578,0
Type C,297.4711070249759,306.858183183943,1450.036484474719,28.553997622131828,80,3578.8022404724416,3.3343277522136083,42.908798236085666,0
Type A,302.46424130262045,309.16771841726256,1323.0505342078209,36.398619364229866,206,4562.31238527213,2.0319132495136074,42.79589437741724,0
Type C,293.07960995395774,298.0846395111269,1663.4965580587786,25.906306124414584,48,3142.805921919281,2.5533417017292597,64.14752824737775,0
Type A,303.15222094630667,314.4864169928515,1542.810206150143,46.07292224986444,52,6545.325592011146,3.074962242403194,51.086164769731546,0
Type B,300.02175985129946,310.7638130776384,1144.3428378125627,41.65955314902051,89,2935.5112765260424,2.0343314258816503,44.58815563082737,0
Type B,294.7513066320084,307.50191657004444,1417.9825941436004,23.542168351857555,134,2596.670008244128,2.490620731262017,47.274514345939274,0
Type A,298.349194464776,310.5336417883458,1479.2757441296117,43.51464861581981,50,2473.699449904242,2.4772026381474004,57.733322503185505,0
Type B,298.71076977439344,309.6813468596889,1372.3855332428802,39.434910526097084,225,3289.0592734456945,1.7132228589738885,49.24216619475553,0
Type B,298.10891409464034,310.33538075735055,1870.433898635532,45.16414282754405,67,1780.4639091342162,2.6010992768593737,56.69137949528835,0
Type C,312.39938869587377,322.22865631096386,1619.959759225554,36.08467566244572,97,3794.562843827811,2.518926807162659,48.14890846077447,0
Type C,299.3108779838448,310.96244356473443,1843.2937294721619,31.98520599256976,151,1594.696230435193,2.8330505497576346,42.79059910831186,0
Type B,298.2927272287586,305.3881496180132,1565.85631541304,32.29155373542193,107,3661.6709240572313,1.7878681152035725,64.97066114254928,0
Type B,285.317843296729,296.7966669992855,1520.3469591062694,34.61829783451596,100,2148.748255903647,2.505982231156735,57.78732937902283,0
Type B,293.74054853614365,306.4142192772877,1265.8505455974378,40.18825096581047,246,3118.706592619907,3.329040438193485,52.66374397133318,0
Type B,298.15848602880556,305.4797603165167,1502.9823832991417,41.47958465424792,108,4104.540399132359,3.7464998991473717,51.35046794822873,0
Type C,295.1990312667635,305.40635966273487,1503.26348141886,38.09280122191897,28,5804.037683876353,3.268077561382966,65.25430258352665,0
Type A,309.67195315364455,317.1775431151271,1158.2215289914416,35.76680451003481,182,2421.999479218843,1.7937570966098546,59.140710318701075,0
Type A,298.84543557222645,306.739408786162,1365.1181325574012,36.48596731994518,176,3349.6825505736083,2.770631609226176,63.02769122145031,0
Type B,309.01910974522775,314.51939232481914,1419.1793503709093,65.07724785506933,54,2776.241325224458,2.2101120550233317,50.9141512575756,0
Type A,300.4319324383526,315.4950321390188,1603.3698860139305,32.29274848501791,212,2630.1296774392044,2.6703403558779524,55.35466578125705,0
Type A,300.260594854951,314.5233355538312,1615.3375279964266,34.42027991453807,97,2785.0266700304555,2.0366699765338456,57.81539241197572,0
Type A,299.3784248660125,311.5281602829218,1354.6703795086987,72.93854108368149,37,4324.066475636939,1.47191593488862,51.14951623480311,0
Type C,300.0265737613502,317.9153575691255,1617.2174006354712,44.210133024605526,43,3011.9441357696205,2.2932896567801,54.33127523697452,0
Type C,312.031565021349,321.27458223507546,1454.4802676628708,26.200193340963043,178,5749.3126982708545,2.933561617966009,50.914727620817246,0
Type C,283.7627249127415,305.889774573184,782.5949937862608,48.42687203977263,54,3915.979255894734,2.6727998532842867,57.79341438251552,0
Type B,285.9891797889293,295.0790621274764,1378.8244920121144,30.899611107988523,117,2489.9893388259247,2.741768715948612,45.75024085304594,0
Type C,296.19780418260723,307.2185775896313,1769.7471600355946,49.09061507805097,183,3133.2948178549227,2.629810193787627,59.00379013472941,0
Type A,300.101695173563,308.51058351780216,1079.5485608430802,37.89037720629319,213,2698.1530099600104,2.7427164849074264,57.174992412200375,0
Type C,304.83073097334807,316.3200332135893,1528.172800103885,35.60204150510593,122,4300.068652946714,2.817707055452021,53.576840300448744,0
Type B,303.31161038619234,316.6540700977373,1896.3153035463217,56.09164968827583,226,1861.2203434347473,2.335191142627229,58.14662001956459,0
Type C,297.310278609836,306.85461303762366,1309.8467617473798,45.66401352659245,75,2159.0486195641897,2.54973433685177,52.44541675386916,0
Type A,307.13330585269233,324.2401852411628,1500.5372701069214,49.729894374492076,218,2908.4538812508586,3.545955024921814,50.309084810708995,0
Type B,307.2113678220691,318.16796496060294,1173.9959356930196,44.34919679519946,62,4182.946793138325,2.5852186174006833,58.80608308352075,0
Type C,301.288404818901,312.37034636334175,1906.807785415893,35.555554762069015,16,4733.060274822772,2.5255380978723507,59.1090980360806,0
Type B,306.7386030074079,313.10261222935304,1479.1668432508463,46.113544202582084,181,4880.542190772843,2.5617307043358397,51.44910832833676,0
Type B,301.9085168440249,313.58251314222645,1511.6567106985046,52.0921539268446,189,4029.8015199475303,2.3692548890102683,50.84863395429859,0
Type A,296.0696188125198,305.53350992928233,1838.5751163764055,41.34738043517553,231,3417.11046364198,2.238786421767518,53.71918561367681,0
Type B,304.88471787300006,312.4517589556509,1665.3695986613702,58.01642604346506,230,4294.625812313992,2.625207114619259,51.13596043030188,0
Type A,300.77429185805073,307.6683942254573,1281.092816875815,48.50487203201909,25,2355.4993825682895,2.1965708788245095,65.67583376917588,0
Type A,300.00937892728143,320.69643244630817,1338.180518978171,42.11982549771612,155,1655.3427779837734,2.4126910423136705,57.21532999935945,0
Type C,310.310675005327,319.2567660046109,1623.7328261308246,42.51486531017818,176,3936.637577686489,2.0256911760842278,55.10220163483051,0
Type B,282.8438951002194,287.01595341709435,1343.969736234265,41.372371289676245,150,2494.32158285115,2.5648070827205904,48.4709251841768,0
Type B,290.076210808883,297.2833249699527,970.6891719698683,27.487612144050082,4,3434.6932678345192,2.8505169665056167,60.17292612925648,0
Type B,291.6905070153794,301.4842356574745,1486.6898003402305,39.09927804191395,11,3619.6270158728144,2.3728510840534507,50.71876570038909,0
Type C,297.4571754670184,309.6438435974843,1129.9468347187976,42.21186485341167,167,3748.1195591782966,1.2949729378664105,50.43076882243272,0
Type A,298.2177428116378,310.436928898539,1904.0704383909315,35.839148787334715,214,4437.791538525052,2.854222926433283,60.4083026415361,0
Type B,289.4487204655887,302.1551786726948,1544.1969094407882,43.37677018704695,44,4332.075188291731,2.572110305655856,57.71125904694328,0
Type A,293.1038937738242,300.5244525472749,1273.706235814106,40.21307490355111,11,3695.0000671676903,1.9040611299919241,37.475866736051096,0
Type B,293.974108250335,305.3358700243412,1325.3418963343865,47.73691891098768,101,3057.9847195305942,2.963962145393964,53.89560465364983,0
Type C,317.20196864453123,323.6977307880889,1027.65060303152,46.631123810657314,78,3607.762088676321,1.6609448795704918,55.87863734383334,0
Type B,312.61219363423004,320.13362170217397,1225.134528304874,41.67153287584841,245,2903.7895833250786,3.127244569194681,52.62282690953188,0
Type C,297.11775407620746,303.44691817820643,1754.080800635175,26.327871086980018,231,3303.571077993829,2.465580028211672,56.12254565982863,0
Type B,297.4549169678524,302.7013615494593,2057.946536373098,57.907227386811705,139,6118.173423580413,1.1386809547736017,42.33218397963692,0
Type C,291.95557201968194,306.212409975114,1681.5991282997397,38.58109001428857,237,3682.1897008835404,2.6069977523579424,35.182855804614924,0
Type B,286.6430871074231,299.39753391133866,1476.9893653447427,39.19113546304868,57,3950.2450170375487,2.2562845791454382,48.171722331408105,0
Type A,299.18183869514036,313.0885001750529,1392.010156086521,36.574791513006126,247,2794.519350969638,2.1658904249061184,56.97572985237005,0
Type C,293.0150361172918,303.17228838138897,1260.8760466059093,35.115883439344636,111,4520.073416429868,2.057364543126269,32.42530640035377,0
Type C,299.4060462783659,312.5132770738265,2014.941474834935,55.44058048000524,119,4260.272422663425,2.4236705254840762,49.09517752932345,0
Type A,288.79855905669564,291.7534014381255,1452.8128245339062,53.8604432038608,12,4267.3525546550845,2.208886791299715,41.54067321560429,0
Type C,294.6661787918282,308.11852886400965,2028.907457515626,44.44393403577671,44,3714.8912467534633,1.3859858540869687,53.30163079228056,0
Type A,301.0403896671198,311.74886898713993,1848.3798774025154,38.924998455692744,48,4534.19009576677,3.263240732006323,68.70529480569095,0
